,0x0,0xffffffff,0x7fffffff
IASystemCopy,0x55411a,0xffaabee5,0x7faabee5
__InputLayout,0x8d2a157c,0x72d5ea83,0x72d5ea83
Position,0xbf5a86a3,0x40a5795c,0x40a5795c
Texcoord,0x233b165b,0xdcc4e9a4,0x5cc4e9a4
IASystemClear,0x1b28058a,0xe4d7fa75,0x64d7fa75
Color,0xa79767ed,0x58689812,0x58689812
IAFilter,0x782683ea,0x87d97c15,0x7d97c15
IAFilter0,0xb47cf2c4,0x4b830d3b,0x4b830d3b
IAFilter1,0xc37bc252,0x3c843dad,0x3c843dad
IAFilter2,0x5a7293e8,0xa58d6c17,0x258d6c17
IADevelopPrim2D,0x11f85405,0xee07abfa,0x6e07abfa
TexCoord,0xe2fa395f,0x1d05c6a0,0x1d05c6a0
IADevelopPrim3D,0x8e36544,0xf71c9abb,0x771c9abb
IACollisionInput,0xb4c03801,0x4b3fc7fe,0x4b3fc7fe
IASwing,0x6e0e595e,0x91f1a6a1,0x11f1a6a1
SWING_ORIGIN,0x7c44105a,0x83bbefa5,0x3bbefa5
SWING_WEIGHT,0xa5781305,0x5a87ecfa,0x5a87ecfa
IASwing2,0x9668cca7,0x69973358,0x69973358
IASwingHighPrecision,0x30c980,0xffcf367f,0x7fcf367f
IASwing2HighPrecision,0xd2bdffe1,0x2d42001e,0x2d42001e
IAInstancing,0xaeb89675,0x5147698a,0x5147698a
INSTANCE_MATRIX,0x17064b8b,0xe8f9b474,0x68f9b474
IAInstancingColor,0xf54788e5,0xab8771a,0xab8771a
INSTANCE_COLOR,0x864c268a,0x79b3d975,0x79b3d975
IALatticeDeform,0x53881427,0xac77ebd8,0x2c77ebd8
LdVtx,0x92d935ff,0x6d26ca00,0x6d26ca00
IATetraDeform,0xb92f96bd,0x46d06942,0x46d06942
IATetraDeform2,0xafbc5eaa,0x5043a155,0x5043a155
IASkinBridge1wt,0x18d4f67c,0xe72b0983,0x672b0983
Joint,0x5c345303,0xa3cbacfc,0x23cbacfc
Normal,0x26296dd2,0xd9d6922d,0x59d6922d
IASkinBridge2wt,0x1a924825,0xe56db7da,0x656db7da
Weight,0x615077,0xff9eaf88,0x7f9eaf88
IASkinBridge4wt,0x1e1f3497,0xe1e0cb68,0x61e0cb68
IASkinBridge8wt,0x1705cdf3,0xe8fa320c,0x68fa320c
IASkinBridge4wt4M,0xed2a2a52,0x12d5d5ad,0x12d5d5ad
MorphPosition,0xc2d750f2,0x3d28af0d,0x3d28af0d
MorphNormal,0xb000ec9,0xf4fff136,0x74fff136
IASkinTB1wt,0xb3457054,0x4cba8fab,0x4cba8fab
Occlusion,0x3bff4d2c,0xc400b2d3,0x4400b2d3
Tangent,0xeba73274,0x1458cd8b,0x1458cd8b
UV_Primary,0x746df088,0x8b920f77,0xb920f77
UV_Secondary,0x78b2c3c9,0x874d3c36,0x74d3c36
UV_Unique,0x9ed4816a,0x612b7e95,0x612b7e95
UV_Extend,0x15cf9e31,0xea3061ce,0x6a3061ce
IASkinTBN1wt,0x85b9984e,0x7a4667b1,0x7a4667b1
IASkinTBC1wt,0x77d34093,0x882cbf6c,0x82cbf6c
VertexColor,0x65476198,0x9ab89e67,0x1ab89e67
VertexAlpha,0xd3f1101b,0x2c0eefe4,0x2c0eefe4
IASkinTBNLA1wt,0x44b27887,0xbb4d8778,0x3b4d8778
IASkinTBCNLA1wt,0x1678f804,0xe98707fb,0x698707fb
IASkinTB2wt,0xb103ce0d,0x4efc31f2,0x4efc31f2
IASkinTBN2wt,0x87ff2617,0x7800d9e8,0x7800d9e8
IASkinTBC2wt,0x7595feca,0x8a6a0135,0xa6a0135
IASkinTBNLA2wt,0x46f4c6de,0xb90b3921,0x390b3921
IASkinTBCNLA2wt,0x143e465d,0xebc1b9a2,0x6bc1b9a2
IASkinTB4wt,0xb58eb2bf,0x4a714d40,0x4a714d40
IASkinTBN4wt,0x83725aa5,0x7c8da55a,0x7c8da55a
IASkinTBC4wt,0x71188278,0x8ee77d87,0xee77d87
IASkinTBNLA4wt,0x4279ba6c,0xbd864593,0x3d864593
IASkinTBCNLA4wt,0x10b33aef,0xef4cc510,0x6f4cc510
IASkinTB8wt,0xbc944bdb,0x436bb424,0x436bb424
IASkinTBN8wt,0x8a68a3c1,0x75975c3e,0x75975c3e
IASkinTBC8wt,0x78027b1c,0x87fd84e3,0x7fd84e3
IASkinTBNLA8wt,0x4b634308,0xb49cbcf7,0x349cbcf7
IASkinTBCNLA8wt,0x19a9c38b,0xe6563c74,0x66563c74
IANonSkinTB,0x55727d68,0xaa8d8297,0x2a8d8297
IANonSkinTBC,0x7eeb64b0,0x81149b4f,0x1149b4f
IANonSkinTBL,0xee547921,0x11ab86de,0x11ab86de
IANonSkinTBL_LA,0x6ec2bafb,0x913d4504,0x113d4504
IANonSkinTBN,0x5a180d,0xffa5e7f2,0x7fa5e7f2
IANonSkinTBA,0x90e5059c,0x6f1afa63,0x6f1afa63
IANonSkinTBNC,0x4366d902,0xbc9926fd,0x3c9926fd
IANonSkinTBNL,0xd3d9c493,0x2c263b6c,0x2c263b6c
IANonSkinTBNL_LA,0x6a7abfd0,0x9585402f,0x1585402f
IANonSkinTBNA,0xad68b82e,0x529747d1,0x529747d1
IANonSkinTBLA,0x9f5edaac,0x60a12553,0x60a12553
IANonSkinTBCA,0x18c6c663,0xe739399c,0x6739399c
IANonSkinTBNCA,0x3d94997e,0xc26b6681,0x426b6681
IANonSkinTBNLA,0xba0c85b1,0x45f37a4e,0x45f37a4e
IANonSkinB,0x8ce58282,0x731a7d7d,0x731a7d7d
IANonSkinBC,0x3eedf829,0xc11207d6,0x411207d6
IANonSkinBL,0xae52e5b8,0x51ad1a47,0x51ad1a47
IANonSkinBL_LA,0xa89759e7,0x5768a618,0x5768a618
IANonSkinBA,0xd0e39905,0x2f1c66fa,0x2f1c66fa
IANonSkinBLA,0x16cdf7d0,0xe932082f,0x6932082f
IANonSkinBCA,0x9155eb1f,0x6eaa14e0,0x6eaa14e0
IASkinOTB_4WT_4M,0x128d0aa3,0xed72f55c,0x6d72f55c
IANonSkinTBN_4M,0x2a9bcda5,0xd564325a,0x5564325a
IASkinVelocytyEdge,0x59e103eb,0xa61efc14,0x261efc14
IADualParaboloid,0xd934bdd6,0x26cb4229,0x26cb4229
Direction,0xbcbb5310,0x4344acef,0x4344acef
IA_DeferredLighting_LightVolume,0x7925f687,0x86da0978,0x6da0978
IAPrimitiveCloudBillboard,0x53a9bbca,0xac564435,0x2c564435
CldAspectRatio,0xe0007348,0x1fff8cb7,0x1fff8cb7
CldAlpha,0xca4090c9,0x35bf6f36,0x35bf6f36
CldSize,0x8dbdfa7e,0x72420581,0x72420581
CldPosition,0x3401a39e,0xcbfe5c61,0x4bfe5c61
CldScale,0xf6e68c27,0x91973d8,0x91973d8
IAPrimitiveCloud,0x12812fd6,0xed7ed029,0x6d7ed029
IAPrimitiveSprite,0xdb33338b,0x24cccc74,0x24cccc74
ZOffset,0xf5ad07c2,0xa52f83d,0xa52f83d
Intensity,0x6b433a31,0x94bcc5ce,0x14bcc5ce
SprScale,0xffacaa30,0x5355cf,0x5355cf
SprRot,0xd9096bb1,0x26f6944e,0x26f6944e
SprWidth,0x9ff0ca9b,0x600f3564,0x600f3564
SprHeight,0x39527815,0xc6ad87ea,0x46ad87ea
SprRatio,0xef8a37cb,0x1075c834,0x1075c834
SprVolume,0x758550c4,0x8a7aaf3b,0xa7aaf3b
PrimRot,0x7f089872,0x80f7678d,0xf7678d
PrimVol,0x6b6da8f8,0x94925707,0x14925707
PrimPrScale,0xd4310318,0x2bcefce7,0x2bcefce7
IAPrimitiveNT,0xb78d7e7a,0x48728185,0x48728185
NTRot,0xbfbbb153,0x40444eac,0x40444eac
NTSize,0x3fb5f7fc,0xc04a0803,0x404a0803
NTVolume,0x815bab59,0x7ea454a6,0x7ea454a6
IAPrimitivePolyline,0x3a4aa31d,0xc5b55ce2,0x45b55ce2
PlnWidth,0xc515f922,0x3aea06dd,0x3aea06dd
PlnReserved,0x9db584fd,0x624a7b02,0x624a7b02
PlnTangent,0x5363c30d,0xac9c3cf2,0x2c9c3cf2
PlnVolume,0xc762bedf,0x389d4120,0x389d4120
IAPrimitivePolygon,0xaa97eb45,0x556814ba,0x556814ba
PlyNormal,0xfd04b9a5,0x2fb465a,0x2fb465a
PlyBinormal,0x6133f859,0x9ecc07a6,0x1ecc07a6
PlyTangent,0x251dfb3f,0xdae204c0,0x5ae204c0
PlyVolume,0x651b1c9f,0x9ae4e360,0x1ae4e360
IACubeMapFilter,0x226afde8,0xdd950217,0x5d950217
View,0x5ecf04b0,0xa130fb4f,0x2130fb4f
IAGSDOFFilter,0xae482ef8,0x51b7d107,0x51b7d107
SV_VertexID,0x95554ebb,0x6aaab144,0x6aaab144
SV_InstanceID,0x9dedea14,0x621215eb,0x621215eb
IABokeh,0xd6ec8828,0x291377d7,0x291377d7
POSITION,0x801f78b9,0x7fe08746,0x7fe08746
IAWater,0x742bfade,0x8bd40521,0xbd40521
IAWaterRipple,0xa183b9c3,0x5e7c463c,0x5e7c463c
IAGUI,0xd70391d,0xf28fc6e2,0x728fc6e2
IATextureBlend,0x63605cca,0x9c9fa335,0x1c9fa335
IAGPUParticle,0x2a788a9d,0xd5877562,0x55877562
Index,0x41b24805,0xbe4db7fa,0x3e4db7fa
Rotation,0xd00afaa7,0x2ff50558,0x2ff50558
TexCoordScl,0xaf63a33b,0x509c5cc4,0x509c5cc4
IAGPULineParticle,0x1a07cc5d,0xe5f833a2,0x65f833a2
IAGPUPolylineParticle,0x223ebf6c,0xddc14093,0x5dc14093
IALightShaftInput,0xc56e509a,0x3a91af65,0x3a91af65
IAGrass,0x271571f7,0xd8ea8e08,0x58ea8e08
COLOR_BLEND,0x50feb444,0xaf014bbb,0x2f014bbb
COS_SIN,0x2479aafe,0xdb865501,0x5b865501
LIGHTMAP,0xe79b8eb,0xf1864714,0x71864714
VERTEX_NO,0xd4baf5d7,0x2b450a28,0x2b450a28
WIDTH_HEIGHT,0xbd4e260a,0x42b1d9f5,0x42b1d9f5
GRASS_POWER,0x4e4c7591,0xb1b38a6e,0x31b38a6e
AMBOCC,0xabffb235,0x54004dca,0x54004dca
IAGrassHicomp,0xba459bae,0x45ba6451,0x45ba6451
ANGLE,0xf7d587b9,0x82a7846,0x82a7846
IAGrassHicomp2,0x2b017579,0xd4fe8a86,0x54fe8a86
VNO_CB,0x6bc7b1fd,0x94384e02,0x14384e02
SCALING,0x4bc5c21d,0xb43a3de2,0x343a3de2
IAGrassPoint,0x9fdb446a,0x6024bb95,0x6024bb95
IAGrassLowest,0xaf5492c0,0x50ab6d3f,0x50ab6d3f
IAGrassSPU,0xdb7378fa,0x248c8705,0x248c8705
GRASS_COLOR,0x83903cd8,0x7c6fc327,0x7c6fc327
UV_BASEMAP,0xf5b6d42,0xf0a492bd,0x70a492bd
WORLD_POSITION,0xda159d12,0x25ea62ed,0x25ea62ed
WORLD_NORMAL,0xeb34652b,0x14cb9ad4,0x14cb9ad4
WORLD_TANGENT,0x1465450c,0xeb9abaf3,0x6b9abaf3
DIFFUSE,0x91e4286b,0x6e1bd794,0x6e1bd794
SPECULAR,0x34ccbe15,0xcb3341ea,0x4b3341ea
AMBIENT_OCCLUSION,0x5be4d90f,0xa41b26f0,0x241b26f0
IAGrassOutsourcing,0xfe6eefca,0x1911035,0x1911035
OS_POSITION,0x34c248f9,0xcb3db706,0x4b3db706
IAGrassOutsourcingF32,0x583eacc4,0xa7c1533b,0x27c1533b
IAMirage,0x92fd55b,0xf6d02aa4,0x76d02aa4
IASimWaterForViewInput,0xef154169,0x10eabe96,0x10eabe96
IASoftBodyQuad,0xc1633e01,0x3e9cc1fe,0x3e9cc1fe
IASoftBodyVertex,0xfc9865a1,0x3679a5e,0x3679a5e
SbTexCoord,0x44e41a29,0xbb1be5d6,0x3b1be5d6
IASoftBodyDecouple,0x80a300b8,0x7f5cff47,0x7f5cff47
SbWeight,0x13018754,0xecfe78ab,0x6cfe78ab
SbOffset,0x4dc618c5,0xb239e73a,0x3239e73a
IASoftBodyVertexNoVTF,0x614b2e79,0x9eb4d186,0x1eb4d186
SbPos,0x6f6b04d0,0x9094fb2f,0x1094fb2f
SbQuat,0xd22fd268,0x2dd02d97,0x2dd02d97
IASoftBodyVertexPS3,0x835f2b1c,0x7ca0d4e3,0x7ca0d4e3
IASoftBodyDecoupleNoVTF,0xabf7e030,0x54081fcf,0x54081fcf
IATattooBlend2D,0x3f69d7b,0xfc096284,0x7c096284
IABuilder,0xf5f92a2a,0xa06d5d5,0xa06d5d5
IASky,0x71431960,0x8ebce69f,0xebce69f
IAAstralBody,0xefd67de4,0x1029821b,0x1029821b
IASkyStar,0xbd6ec7ba,0x42913845,0x42913845
IAAmbientShadow,0x4ceaf81b,0xb31507e4,0x331507e4
IAVertexIndexF32,0x93587cdf,0x6ca78320,0x6ca78320
PROJECTION_INDEX,0x1ff27893,0xe00d876c,0x600d876c
IAVertexIndexF16,0xa603da44,0x59fc25bb,0x59fc25bb
IATriangleF32,0x9e191a62,0x61e6e59d,0x61e6e59d
TRIANGLE_INDEX,0x229ac81a,0xdd6537e5,0x5d6537e5
IATriangleF16,0xab42bcf9,0x54bd4306,0x54bd4306
IAInfParticle,0x1988ef07,0xe67710f8,0x667710f8
Life,0xb9ff91c0,0x46006e3f,0x46006e3f
Attribute,0x788b6d58,0x877492a7,0x77492a7
IALayout,0x3dd8b715,0xc22748ea,0x422748ea
TexOffset,0x615f5a02,0x9ea0a5fd,0x1ea0a5fd
IALayoutUv2,0x1de5b986,0xe21a4679,0x621a4679
IA_SYSTEM_COPY,0x6b93f851,0x946c07ae,0x146c07ae
position,0x462ce4f5,0xb9d31b0a,0x39d31b0a
texcoord,0xda4d740d,0x25b28bf2,0x25b28bf2
Format,0xd91677e9,0x26e98816,0x26e98816
IA_SYSTEM_CLEAR,0xc1237be3,0x3edc841c,0x3edc841c
color,0x665648e9,0x99a9b716,0x19a9b716
SYSTEM_OUTPUT,0x35a19a26,0xca5e65d9,0x4a5e65d9
SV_Position,0x49422bab,0xb6bdd454,0x36bdd454
texcoord1,0xfdb7de7e,0x2482181,0x2482181
texcoord2,0x64be8fc4,0x9b41703b,0x1b41703b
texcoord3,0x13b9bf52,0xec4640ad,0x6c4640ad
SYSTEM_DEPTHOUT,0xdfb24541,0x204dbabe,0x204dbabe
SV_Target,0x1b03816b,0xe4fc7e94,0x64fc7e94
depth,0xfaa31c69,0x55ce396,0x55ce396
SV_Depth,0xfe168993,0x1e9766c,0x1e9766c
SYSTEM_MRT2,0x5a998f5c,0xa56670a3,0x256670a3
color0,0x2d6bd3b5,0xd2942c4a,0x52942c4a
color1,0x5a6ce323,0xa5931cdc,0x25931cdc
SYSTEM_MRT3,0x2d9ebfca,0xd2614035,0x52614035
color2,0xc365b299,0x3c9a4d66,0x3c9a4d66
SYSTEM_MRT4,0xb3fa2a69,0x4c05d596,0x4c05d596
color3,0xb462820f,0x4b9d7df0,0x4b9d7df0
PROCEDURAL_TEXTURE_OUT,0x2de8f947,0xd21706b8,0x521706b8
IA_FILTER,0x9a6cc3e7,0x65933c18,0x65933c18
texcoord0,0x8ab0eee8,0x754f1117,0x754f1117
COLOR4N,0xd8390be,0xf27c6f41,0x727c6f41
IA_FILTER0,0xca2fc439,0x35d03bc6,0x35d03bc6
IA_FILTER1,0xbd28f4af,0x42d70b50,0x42d70b50
IA_FILTER2,0x2421a515,0xdbde5aea,0x5bde5aea
FILTER_OUT,0xf5935e4a,0xa6ca1b5,0xa6ca1b5
svposition,0x5e43d72e,0xa1bc28d1,0x21bc28d1
sposition,0xc29d022,0xf3d62fdd,0x73d62fdd
ScreenPosition,0xa90dc8c8,0x56f23737,0x56f23737
FILTER_INPUT,0x63078d0e,0x9cf872f1,0x1cf872f1
viewdepth,0x593ca02e,0xa6c35fd1,0x26c35fd1
ViewDepth,0x1a0c0d89,0xe5f3f276,0x65f3f276
screendepth,0xa73899fd,0x58c76602,0x58c76602
ScreenDepth,0xe065392e,0x1f9ac6d1,0x1f9ac6d1
wposition,0x51c5812e,0xae3a7ed1,0x2e3a7ed1
WorldPosition,0x9729027c,0x68d6fd83,0x68d6fd83
viewdir,0xdfffa7e7,0x20005818,0x20005818
ViewDirection,0x7c441b92,0x83bbe46d,0x3bbe46d
viewdist,0xa2c0e395,0x5d3f1c6a,0x5d3f1c6a
ViewDistance,0xa0c0d7a8,0x5f3f2857,0x5f3f2857
FILTER_OUTPUT_16,0x52cd2d6d,0xad32d292,0x2d32d292
texcoord4,0x8ddd2af1,0x7222d50e,0x7222d50e
texcoord5,0xfada1a67,0x525e598,0x525e598
texcoord6,0x63d34bdd,0x9c2cb422,0x1c2cb422
texcoord7,0x14d47b4b,0xeb2b84b4,0x6b2b84b4
SMAA_OUTPUT,0x9538b80b,0x6ac747f4,0x6ac747f4
offset,0x590acad0,0xa6f5352f,0x26f5352f
TexCoordOffset,0x4cf25d3e,0xb30da2c1,0x330da2c1
pixcoord,0x99a71083,0x6658ef7c,0x6658ef7c
PixCoord,0xa1105dd1,0x5eefa22e,0x5eefa22e
IA_DEVELOP_PRIM2D,0x6a224da3,0x95ddb25c,0x15ddb25c
S16N,0xc52d0d15,0x3ad2f2ea,0x3ad2f2ea
IA_DEVELOP_PRIM3D,0x73397ce2,0x8cc6831d,0xcc6831d
DEVELOP_OUTPUT,0xd5a75a0f,0x2a58a5f0,0x2a58a5f0
IA_COLLISION_VS_INPUT,0x84a5ea67,0x7b5a1598,0x7b5a1598
COLLISION_OUT,0x37b439d7,0xc84bc628,0x484bc628
MATERIAL_CONTEXT,0xde630359,0x219cfca6,0x219cfca6
tangent,0x241a0be8,0xdbe5f417,0x5be5f417
binormal,0x7985b8de,0x867a4721,0x67a4721
eye_dir,0xef99a4fe,0x10665b01,0x10665b01
reflect_dir,0xdf023c7f,0x20fdc380,0x20fdc380
uv_primary,0x767c4867,0x8983b798,0x983b798
uv_secondary,0x64ee1545,0x9b11eaba,0x1b11eaba
uv_unique,0xe2ff64a9,0x1d009b56,0x1d009b56
uv_extend,0x69e47bf2,0x961b840d,0x161b840d
uv_screen,0x8d1153ee,0x72eeac11,0x72eeac11
light_mask,0xce3d1bb6,0x31c2e449,0x31c2e449
vertex_color,0xd4f22a38,0x2b0dd5c7,0x2b0dd5c7
vertex_normal,0xd0e32ec4,0x2f1cd13b,0x2f1cd13b
transparency,0xf7e69b41,0x81964be,0x81964be
shininess,0xcc20a1d8,0x33df5e27,0x33df5e27
fresnel,0x57fa99f,0xfa805660,0x7a805660
ambient_occlusion,0x4ec8d7fb,0xb1372804,0x31372804
albedo,0x2d070339,0xd2f8fcc6,0x52f8fcc6
diffuse,0xaea1d671,0x515e298e,0x515e298e
specular,0xf2ff2259,0xd00dda6,0xd00dda6
diffuse2,0x3d795e71,0xc286a18e,0x4286a18e
specular2,0x890a87f,0xf76f5780,0x776f5780
diffuse3,0x4a7e6ee7,0xb5819118,0x35819118
tangent_primary,0xa733c9ec,0x58cc3613,0x58cc3613
tangent_secondary,0x2626363c,0xd9d9c9c3,0x59d9c9c3
global_transparency,0xf42a9a18,0xbd565e7,0xbd565e7
attributes,0x319b9e70,0xce64618f,0x4e64618f
FOG_OUT,0xed084a28,0x12f7b5d7,0x12f7b5d7
addfactor,0xdab30a5d,0x254cf5a2,0x254cf5a2
mulfactor,0xbf79869b,0x40867964,0x40867964
effect,0xb66091f2,0x499f6e0d,0x499f6e0d
SKINNING_INPUT,0xa21ea23e,0x5de15dc1,0x5de15dc1
weights,0x1ad27358,0xe52d8ca7,0x652d8ca7
joints,0x85f7afd4,0x7a08502b,0x7a08502b
LIGHT_PARAM,0x2a3f9f9a,0xd5c06065,0x55c06065
fLightPos,0xb6577fef,0x49a88010,0x49a88010
fLightMask0,0x80fa81e6,0x7f057e19,0x7f057e19
fLightDir,0x8c25e353,0x73da1cac,0x73da1cac
fLightMask1,0xf7fdb170,0x8024e8f,0x8024e8f
fLightColor,0x34d14941,0xcb2eb6be,0x4b2eb6be
fLightBalance,0xbd2d4b0e,0x42d2b4f1,0x42d2b4f1
fAttenuation,0xae9ad928,0x516526d7,0x516526d7
fAttenuation2,0x2fce8c2e,0xd03173d1,0x503173d1
fLightRangeMat,0x5de2168b,0xa21de974,0x221de974
fLightProjMat,0x3a02f1c4,0xc5fd0e3b,0x45fd0e3b
LIGHT_OUTPUT,0x7380b06b,0x8c7f4f94,0xc7f4f94
diffuse_enable,0x6418d30c,0x9be72cf3,0x1be72cf3
specular_enable,0x10b13e48,0xef4ec1b7,0x6f4ec1b7
direction,0x3e4ad1b3,0xc1b52e4c,0x41b52e4c
diffuse_back_enable,0x4ece6514,0xb1319aeb,0x31319aeb
diffuse_back,0x1f583826,0xe0a7c7d9,0x60a7c7d9
DEFERRED_LIGHTING_RESULT,0x3e7a3cb0,0xc185c34f,0x4185c34f
diffuseAndSpecular,0xfdf01de2,0x20fe21d,0x20fe21d
MATERIAL_INPUT,0x624be192,0x9db41e6d,0x1db41e6d
vcolor,0xcccdf08b,0x33320f74,0x33320f74
valpha,0x7a7b8108,0x85847ef7,0x5847ef7
MORPH_INPUT,0x730aa559,0x8cf55aa6,0xcf55aa6
morphpos0,0x9106061d,0x6ef9f9e2,0x6ef9f9e2
morphpos1,0xe601368b,0x19fec974,0x19fec974
morphpos2,0x7f086731,0x80f798ce,0xf798ce
morphpos3,0x80f57a7,0xf7f0a858,0x77f0a858
morphn0,0xfde1b0fa,0x21e4f05,0x21e4f05
morphn1,0x8ae6806c,0x75197f93,0x75197f93
morphn2,0x13efd1d6,0xec102e29,0x6c102e29
morphn3,0x64e8e140,0x9b171ebf,0x1b171ebf
SOFTBODY_INPUT,0x936da9c9,0x6c925636,0x6c925636
quat0,0x7aee4385,0x8511bc7a,0x511bc7a
quat1,0xde97313,0xf2168cec,0x72168cec
quat2,0x94e022a9,0x6b1fdd56,0x6b1fdd56
weight,0x7cd5541,0xf832aabe,0x7832aabe
LATTICE_DEFORM_INPUT,0x36a70789,0xc958f876,0x4958f876
vtx0,0xfdd72382,0x228dc7d,0x228dc7d
vtx1,0x8ad01314,0x752feceb,0x752feceb
vtx2,0x13d942ae,0xec26bd51,0x6c26bd51
vtx3,0x64de7238,0x9b218dc7,0x1b218dc7
vtx4,0xfabae79b,0x5451864,0x5451864
vtx5,0x8dbdd70d,0x724228f2,0x724228f2
vtx6,0x14b486b7,0xeb4b7948,0x6b4b7948
vtx7,0x63b3b621,0x9c4c49de,0x1c4c49de
SWING_INPUT,0xa1f04d4,0xf5e0fb2b,0x75e0fb2b
origin,0xdef1561e,0x210ea9e1,0x210ea9e1
weight2,0x1b09025e,0xe4f6fda1,0x64f6fda1
origin2,0xe0047238,0x1ffb8dc7,0x1ffb8dc7
INSTANCING_INPUT,0x2b168521,0xd4e97ade,0x54e97ade
instance_wmat,0x9427a042,0x6bd85fbd,0x6bd85fbd
instance_color,0x6ac85981,0x9537a67e,0x1537a67e
PROJECTION_INPUT,0x47a92d45,0xb856d2ba,0x3856d2ba
proj_idx,0x1382e56e,0xec7d1a91,0x6c7d1a91
MATERIAL_OUTPUT,0xf1bce29a,0xe431d65,0xe431d65
wnormal,0x24e4f89c,0xdb1b0763,0x5b1b0763
WorldNormal,0xabeddc96,0x54122369,0x54122369
wtangent,0x7ac19376,0x853e6c89,0x53e6c89
WorldTangent,0x9a9b734c,0x65648cb3,0x65648cb3
wbinormal,0x6e6cdd05,0x919322fa,0x119322fa
WorldBiNormal,0xaf2c5b61,0x50d3a49e,0x50d3a49e
Attributes,0x7ec69da0,0x8139625f,0x139625f
MATERIAL_HS_INPUT,0xc18a7f2a,0x3e7580d5,0x3e7580d5
SVPosition,0x6a99340b,0x9566cbf4,0x1566cbf4
MATERIAL_HS_OUTPUT,0x34a518ba,0xcb5ae745,0x4b5ae745
MATERIAL_OUTPUT_EX,0x2e048107,0xd1fb7ef8,0x51fb7ef8
EyeDir,0x6bca5a11,0x9435a5ee,0x1435a5ee
ReflectDir,0xd5c3418,0xf2a3cbe7,0x72a3cbe7
IA_SWING,0x9c3440b7,0x63cbbf48,0x63cbbf48
U8N,0x13cde525,0xec321ada,0x6c321ada
IA_SWING2,0x4f4cac62,0xb0b3539d,0x30b3539d
IA_SWING_HIGH_PRECISION,0x3ce348ce,0xc31cb731,0x431cb731
IA_SWING2_HIGH_PRECISION,0x21f45bdf,0xde0ba420,0x5e0ba420
SWING_INFO,0xf13acf51,0xec530ae,0xec530ae
wind,0x210b54fe,0xdef4ab01,0x5ef4ab01
IA_INSTANCING,0x5e4f0a07,0xa1b0f5f8,0x21b0f5f8
Instance,0xbb46d388,0x44b92c77,0x44b92c77
f32,0x8fa75a30,0x7058a5cf,0x7058a5cf
IA_INSTANCING_COLOR,0xe9da050d,0x1625faf2,0x1625faf2
IA_LATTICE_DEFORM,0x2386a7ac,0xdc795853,0x5c795853
IA_TETRA_DEFORM,0x9c060ba3,0x63f9f45c,0x63f9f45c
IA_TETRA_DEFORM2,0x55964a54,0xaa69b5ab,0x2a69b5ab
WORLD_COORDINATE_INPUT,0x7a2167ee,0x85de9811,0x5de9811
SWI,0x6b417b5c,0x94be84a3,0x14be84a3
MI,0xb0eda83,0xf4f1257c,0x74f1257c
SI,0xdf4fe55c,0x20b01aa3,0x20b01aa3
LDI,0x1dd4de83,0xe22b217c,0x622b217c
VPI,0x22cb2f70,0xdd34d08f,0x5d34d08f
ISI,0x1e9c98fe,0xe1636701,0x61636701
instance_id,0x3a51721d,0xc5ae8de2,0x45ae8de2
IA_SKIN_BRIDGE_1WT,0xcda72730,0x3258d8cf,0x3258d8cf
qposition,0x22dff8a4,0xdd20075b,0x5d20075b
joint,0x9df57c07,0x620a83f8,0x620a83f8
S16,0x985cdbd0,0x67a3242f,0x67a3242f
SCMP3N,0x44465e94,0xbbb9a16b,0x3bb9a16b
IA_SKIN_BRIDGE_2WT,0xcfe19969,0x301e6696,0x301e6696
weights0,0x9171d494,0x6e8e2b6b,0x6e8e2b6b
U16,0x9cd1a762,0x632e589d,0x632e589d
IA_SKIN_BRIDGE_4WT,0xcb6ce5db,0x34931a24,0x34931a24
U8,0xae170370,0x51e8fc8f,0x51e8fc8f
IA_SKIN_BRIDGE_8WT,0xc2761cbf,0x3d89e340,0x3d89e340
IA_SKIN_BRIDGE_4WT_4M,0xcd378e85,0x32c8717a,0x32c8717a
S8N,0x17409997,0xe8bf6668,0x68bf6668
IA_SKIN_TB_1WT,0x960ac86f,0x69f53790,0x69f53790
uv_basemap,0xfdb2122b,0x24dedd4,0x24dedd4
uv_normalmap,0x720d25b6,0x8df2da49,0xdf2da49
uv_lightmap,0x1f26cfeb,0xe0d93014,0x60d93014
uv_alphamap,0xaf0f6013,0x50f09fec,0x50f09fec
IA_SKIN_TBN_1WT,0x8291d632,0x7d6e29cd,0x7d6e29cd
IA_SKIN_TBC_1WT,0x7a011283,0x85feed7c,0x5feed7c
U8NL,0xe67ffb94,0x1980046b,0x1980046b
IA_SKIN_TBNLA_1WT,0xaddd5c5e,0x5222a3a1,0x5222a3a1
IA_SKIN_TBCNLA_1WT,0xe120816b,0x1edf7e94,0x1edf7e94
IA_SKIN_TB_2WT,0x944c7636,0x6bb389c9,0x6bb389c9
IA_SKIN_TBN_2WT,0x80d7686b,0x7f289794,0x7f289794
IA_SKIN_TBC_2WT,0x7847acda,0x87b85325,0x7b85325
IA_SKIN_TBNLA_2WT,0xaf9be207,0x50641df8,0x50641df8
IA_SKIN_TBCNLA_2WT,0xe3663f32,0x1c99c0cd,0x1c99c0cd
IA_SKIN_TB_4WT,0x90c10a84,0x6f3ef57b,0x6f3ef57b
weight0,0xf5076372,0xaf89c8d,0xaf89c8d
